n,core,state,class,tier,role,element,latches,full_codes,reading
1,P0r-0,patrol,idle,calm,rifleman,none,,105,Rifleman walking its patrol ring.
2,P0r-4,patrol,idle,calm,rifleman,none,held-in-place,105,Rifleman walking its patrol ring [held-in-place latched].
3,P0r-G,patrol,idle,calm,rifleman,none,sight-grace,105,Rifleman walking its patrol ring [sight-grace latched].
4,P0r-K,patrol,idle,calm,rifleman,none,held-in-place+sight-grace,105,Rifleman walking its patrol ring [held-in-place+sight-grace latched].
5,P0m-0,patrol,idle,calm,medic,none,,350,Medic walking its patrol ring.
6,P0m-4,patrol,idle,calm,medic,none,held-in-place,350,Medic walking its patrol ring [held-in-place latched].
7,P0m-G,patrol,idle,calm,medic,none,sight-grace,350,Medic walking its patrol ring [sight-grace latched].
8,P0m-K,patrol,idle,calm,medic,none,held-in-place+sight-grace,350,Medic walking its patrol ring [held-in-place+sight-grace latched].
9,P1r-0,patrol,idle,near-miss,rifleman,none,,105,"Rifleman walking its patrol ring, after a round whistled past."
10,P1r-4,patrol,idle,near-miss,rifleman,none,held-in-place,105,"Rifleman walking its patrol ring, after a round whistled past [held-in-place latched]."
11,P1r-G,patrol,idle,near-miss,rifleman,none,sight-grace,105,"Rifleman walking its patrol ring, after a round whistled past [sight-grace latched]."
12,P1r-K,patrol,idle,near-miss,rifleman,none,held-in-place+sight-grace,105,"Rifleman walking its patrol ring, after a round whistled past [held-in-place+sight-grace latched]."
13,P1m-0,patrol,idle,near-miss,medic,none,,350,"Medic walking its patrol ring, after a round whistled past."
14,P1m-4,patrol,idle,near-miss,medic,none,held-in-place,350,"Medic walking its patrol ring, after a round whistled past [held-in-place latched]."
15,P1m-G,patrol,idle,near-miss,medic,none,sight-grace,350,"Medic walking its patrol ring, after a round whistled past [sight-grace latched]."
16,P1m-K,patrol,idle,near-miss,medic,none,held-in-place+sight-grace,350,"Medic walking its patrol ring, after a round whistled past [held-in-place+sight-grace latched]."
17,P2r-0,patrol,idle,wary,rifleman,none,,210,"Rifleman walking its patrol ring, on a fresh wary call-out."
18,P2r-4,patrol,idle,wary,rifleman,none,held-in-place,210,"Rifleman walking its patrol ring, on a fresh wary call-out [held-in-place latched]."
19,P2r-G,patrol,idle,wary,rifleman,none,sight-grace,210,"Rifleman walking its patrol ring, on a fresh wary call-out [sight-grace latched]."
20,P2r-K,patrol,idle,wary,rifleman,none,held-in-place+sight-grace,210,"Rifleman walking its patrol ring, on a fresh wary call-out [held-in-place+sight-grace latched]."
21,P2m-0,patrol,idle,wary,medic,none,,700,"Medic walking its patrol ring, on a fresh wary call-out."
22,P2m-4,patrol,idle,wary,medic,none,held-in-place,700,"Medic walking its patrol ring, on a fresh wary call-out [held-in-place latched]."
23,P2m-G,patrol,idle,wary,medic,none,sight-grace,700,"Medic walking its patrol ring, on a fresh wary call-out [sight-grace latched]."
24,P2m-K,patrol,idle,wary,medic,none,held-in-place+sight-grace,700,"Medic walking its patrol ring, on a fresh wary call-out [held-in-place+sight-grace latched]."
25,P3r-0,patrol,idle,defensive,rifleman,none,,840,"Rifleman walking its patrol ring, under a defensive squad alert."
26,P3r-4,patrol,idle,defensive,rifleman,none,held-in-place,840,"Rifleman walking its patrol ring, under a defensive squad alert [held-in-place latched]."
27,P3r-G,patrol,idle,defensive,rifleman,none,sight-grace,840,"Rifleman walking its patrol ring, under a defensive squad alert [sight-grace latched]."
28,P3r-K,patrol,idle,defensive,rifleman,none,held-in-place+sight-grace,840,"Rifleman walking its patrol ring, under a defensive squad alert [held-in-place+sight-grace latched]."
29,P3m-0,patrol,idle,defensive,medic,none,,2800,"Medic walking its patrol ring, under a defensive squad alert."
30,P3m-4,patrol,idle,defensive,medic,none,held-in-place,2800,"Medic walking its patrol ring, under a defensive squad alert [held-in-place latched]."
31,P3m-G,patrol,idle,defensive,medic,none,sight-grace,2800,"Medic walking its patrol ring, under a defensive squad alert [sight-grace latched]."
32,P3m-K,patrol,idle,defensive,medic,none,held-in-place+sight-grace,2800,"Medic walking its patrol ring, under a defensive squad alert [held-in-place+sight-grace latched]."
33,P4rb0,patrol,idle,push,rifleman,base-of-fire,,630,"Rifleman walking its patrol ring, in a squad push as the base-of-fire element."
34,P4rb4,patrol,idle,push,rifleman,base-of-fire,held-in-place,630,"Rifleman walking its patrol ring, in a squad push as the base-of-fire element [held-in-place latched]."
35,P4rbG,patrol,idle,push,rifleman,base-of-fire,sight-grace,630,"Rifleman walking its patrol ring, in a squad push as the base-of-fire element [sight-grace latched]."
36,P4rbK,patrol,idle,push,rifleman,base-of-fire,held-in-place+sight-grace,630,"Rifleman walking its patrol ring, in a squad push as the base-of-fire element [held-in-place+sight-grace latched]."
37,P4rm0,patrol,idle,push,rifleman,moving,,630,"Rifleman walking its patrol ring, in a squad push as the moving element."
38,P4rm4,patrol,idle,push,rifleman,moving,held-in-place,630,"Rifleman walking its patrol ring, in a squad push as the moving element [held-in-place latched]."
39,P4rmG,patrol,idle,push,rifleman,moving,sight-grace,630,"Rifleman walking its patrol ring, in a squad push as the moving element [sight-grace latched]."
40,P4rmK,patrol,idle,push,rifleman,moving,held-in-place+sight-grace,630,"Rifleman walking its patrol ring, in a squad push as the moving element [held-in-place+sight-grace latched]."
41,P4mb0,patrol,idle,push,medic,base-of-fire,,2100,"Medic walking its patrol ring, in a squad push as the base-of-fire element."
42,P4mb4,patrol,idle,push,medic,base-of-fire,held-in-place,2100,"Medic walking its patrol ring, in a squad push as the base-of-fire element [held-in-place latched]."
43,P4mbG,patrol,idle,push,medic,base-of-fire,sight-grace,2100,"Medic walking its patrol ring, in a squad push as the base-of-fire element [sight-grace latched]."
44,P4mbK,patrol,idle,push,medic,base-of-fire,held-in-place+sight-grace,2100,"Medic walking its patrol ring, in a squad push as the base-of-fire element [held-in-place+sight-grace latched]."
45,P4mm0,patrol,idle,push,medic,moving,,2100,"Medic walking its patrol ring, in a squad push as the moving element."
46,P4mm4,patrol,idle,push,medic,moving,held-in-place,2100,"Medic walking its patrol ring, in a squad push as the moving element [held-in-place latched]."
47,P4mmG,patrol,idle,push,medic,moving,sight-grace,2100,"Medic walking its patrol ring, in a squad push as the moving element [sight-grace latched]."
48,P4mmK,patrol,idle,push,medic,moving,held-in-place+sight-grace,2100,"Medic walking its patrol ring, in a squad push as the moving element [held-in-place+sight-grace latched]."
49,S0r-0,seek,search,calm,rifleman,none,,105,Rifleman moving on a last-known position.
50,S0r-4,seek,search,calm,rifleman,none,held-in-place,105,Rifleman moving on a last-known position [held-in-place latched].
51,S0r-G,seek,search,calm,rifleman,none,sight-grace,105,Rifleman moving on a last-known position [sight-grace latched].
52,S0r-K,seek,search,calm,rifleman,none,held-in-place+sight-grace,105,Rifleman moving on a last-known position [held-in-place+sight-grace latched].
53,S0m-0,seek,search,calm,medic,none,,350,Medic moving on a last-known position.
54,S0m-4,seek,search,calm,medic,none,held-in-place,350,Medic moving on a last-known position [held-in-place latched].
55,S0m-G,seek,search,calm,medic,none,sight-grace,350,Medic moving on a last-known position [sight-grace latched].
56,S0m-K,seek,search,calm,medic,none,held-in-place+sight-grace,350,Medic moving on a last-known position [held-in-place+sight-grace latched].
57,S1r-0,seek,search,near-miss,rifleman,none,,105,"Rifleman moving on a last-known position, after a round whistled past."
58,S1r-4,seek,search,near-miss,rifleman,none,held-in-place,105,"Rifleman moving on a last-known position, after a round whistled past [held-in-place latched]."
59,S1r-G,seek,search,near-miss,rifleman,none,sight-grace,105,"Rifleman moving on a last-known position, after a round whistled past [sight-grace latched]."
60,S1r-K,seek,search,near-miss,rifleman,none,held-in-place+sight-grace,105,"Rifleman moving on a last-known position, after a round whistled past [held-in-place+sight-grace latched]."
